Key,Name,Catalog API URL,Organizations API URL
ANUx,Australian National University,https://www.edx.org/sites/default/files/school/image/banner/anu_logo_200x101_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-anux.png
ASUx,Arizona State University,https://www.edx.org/sites/default/files/school/image/logo/asux-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-asux.png
BabsonX,Babson College,https://www.edx.org/sites/default/files/school/image/logo/babson_logo_200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/Babson_2C_1.png
BerkeleyX,"University of California, Berkeley",https://edxuploads.s3.amazonaws.com/organization_logos/logo-berkeleyx.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-berkeleyx.png
CatalystX,Catalyst,https://www.edx.org/sites/default/files/school/image/logo/catalyst-x.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-catalystx.png
ColumbiaX,Columbia University,https://www.edx.org/sites/default/files/school/image/logo/columbiau200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-columbiax.png
CurtinX,Curtin University,https://www.edx.org/sites/default/files/school/image/logo/curtin-university-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-curtinx.png
DelftX,Delft University of Technology (TU Delft),https://www.edx.org/sites/default/files/school/image/banner/delft_logo_200x101_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-delftx.png
edX,edX,https://www.edx.org/sites/default/files/school/image/logo/edx-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/edx_logo.png
ETHx,ETH Zurich,https://www.edx.org/sites/default/files/school/image/logo/eth_200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/eth_logo_kurz.png
FullbridgeX,Fullbridge,https://www.edx.org/sites/default/files/school/image/logo/fullbridgex-logo12022015-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/fb_logo_RGB.png
GalileoX,Galileo University,https://www.edx.org/sites/default/files/school/image/logo/galileox-logo-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo_universidad_galileo-1_thumb.png
HarvardX,Harvard University,https://www.edx.org/sites/default/files/school/image/banner/harvard_logo_200x101_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-harvardx.png
HKPolyUx,The Hong Kong Polytechnic University,https://www.edx.org/sites/default/files/school/image/logo/hkpolyu-logo12022015-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/Corporate_Logo_CMYK_transparent.png
HKUSTx,Hong Kong University of Science and Technology,https://www.edx.org/sites/default/files/school/image/banner/hkust-logo-200x201_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-hkustx.png
IIMBx,"Indian Institute of Management, Bangalore",https://www.edx.org/sites/default/files/school/image/logo/iimb-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-iimbx.png
IITBombayX,IITBombay,https://www.edx.org/sites/default/files/school/image/banner/iitbombay_rev_200x101_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-iitbombayx.png
ImperialBusinessX,Imperial College Business School,https://www.edx.org/sites/default/files/school/image/logo/imperialbusinesslogo_200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/IMPERIALX_LOGO_RGB_LIGHT.png
LouvainX,Université catholique de Louvain,https://www.edx.org/sites/default/files/school/image/banner/ucl-logo_200x101_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-louvainx.png
MichiganX,The University of Michigan,https://www.edx.org/sites/default/files/school/image/logo/michiganx-logo12012015-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/umlogo_edx_092815.png
Microsoft,Microsoft,https://www.edx.org/sites/default/files/school/image/logo/microsoft201x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-microsoft.png
MITx,Massachusetts Institute of Technology,https://www.edx.org/sites/default/files/school/image/banner/mit_logo_200x101_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-mitx.png
NYIF,New York Institute of Finance,https://edxuploads.s3.amazonaws.com/organization_logos/logo-nyif.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-nyif.png
RITx,Rochester Institute of Technology,https://www.edx.org/sites/default/files/school/image/logo/ritx-logo-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/rit_orange.jpg
ThunderbirdX,Thunderbird School of Global Management,https://www.edx.org/sites/default/files/school/image/logo/thunderbirdx.png,#N/A
UBCx,University of British Columbia,https://www.edx.org/sites/default/files/school/image/logo/ubcx-200x101_0.jpg,https://edxuploads.s3.amazonaws.com/organization_logos/logo-ubcx.png
UC3Mx,Universidad Carlos III de Madrid,https://www.edx.org/sites/default/files/school/image/logo/uc3mx_logo200x101.jpg,https://edxuploads.s3.amazonaws.com/organization_logos/Logo_2.png
UPValenciaX,Universitat Politècnica de Valencia,https://www.edx.org/sites/default/files/school/image/logo/upv_200x101.jpg,https://edxuploads.s3.amazonaws.com/organization_logos/logo-upvalenciax_1.png
UQx,The University of Queensland,https://www.edx.org/sites/default/files/school/image/banner/queensland_logo_200x101_0_0.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-uqx.png
VJx,"HarvardX, MITx, UTokyoX",https://edxuploads.s3.amazonaws.com/organization_logos/logo-vjx.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-vjx.png
W3Cx,The World Wide Web Consortium (W3C),https://www.edx.org/sites/default/files/school/image/logo/w3c-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/logo-w3cx.png
WageningenX,Wageningen University & Research,https://www.edx.org/sites/default/files/school/image/logo/wageningenx-logo12022015-200x101.png,https://edxuploads.s3.amazonaws.com/organization_logos/WUR_RGB_standard.png
